Reporting Date,Sale Month,Store,Artist,Title,ISRC,UPC,Quantity,Team Percentage,Song/Album,Country of Sale,Songwriter Royalties Withheld,Earnings (USD)
2022-12-31,2022-10,Spotify,Lamanna,Agony,QZK6N1932121,194997186479.0,2,100,Song,US,0,0.005189
2022-12-23,2022-10,Apple Music,Lamanna,Singapore,QZK6L2162403,196400294481.0,20,100,Song,GB,0,0.24233148
2022-12-23,2022-10,Apple Music,Lamanna,Singapore,QZK6L2162403,196400294481.0,2,100,Song,ID,0,0.00646945
2022-12-23,2022-10,Apple Music,Lamanna,Singapore,QZK6L2162403,196400294481.0,4,100,Song,KR,0,0.02614852
2022-12-23,2022-10,Apple Music,Lamanna,Singapore,QZK6L2162403,196400294481.0,2,100,Song,RU,0,0.00451245
2022-12-23,2022-10,Apple Music,Lamanna,Singapore,QZK6L2162403,196400294481.0,12,100,Song,TW,0,0.02904919
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,11,100,Song,AT,0,0.05945089
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,6,100,Song,AU,0,0.01725132
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,2,100,Song,AU,0,0.00651971
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,1,100,Song,BD,0,2.013e-05
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,4,100,Song,BE,0,0.00824897
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,10,100,Song,CA,0,0.02037502
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,5,100,Song,CH,0,0.0182696
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,26,100,Song,DE,0,0.08382272
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,11,100,Song,DE,0,0.03862342
